FRAME;AVG INACCURACY;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;LM X;LM Y;LM Z;
26;3.149803;293.772000;44.984800;115.609527;255.938000;29.556600;120.501467;212.448000;39.157400;126.324784;192.561200;82.546200;135.666357;218.272000;119.886200;141.219824;255.734000;135.048000;137.423550;299.244000;125.575600;124.561909;319.534000;83.495800;111.990839;
27;11.319712;281.546000;51.542600;124.211659;244.464000;37.632800;126.688691;204.918000;48.460400;129.277148;185.564400;88.725400;134.278520;207.564000;125.079600;139.054830;244.446000;139.288600;137.846886;284.734000;128.598600;130.752038;304.248000;90.528800;123.235216;
28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
29;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
30;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
31;5.191059;290.720000;52.063800;120.454128;254.270000;37.583200;125.417933;211.324000;45.413400;129.259355;192.213600;88.245400;136.492544;218.140000;123.899600;140.844229;254.292000;138.622200;136.917941;297.372000;130.975600;124.538026;317.014000;89.748000;114.823626;
32;2.420930;298.920000;46.021600;113.292984;259.392000;29.456400;119.796431;214.004000;39.827800;127.042862;195.458400;85.048200;137.027309;220.592000;124.330800;141.004571;259.376000;140.432800;135.520415;304.744000;130.239200;120.575538;323.692000;86.392200;109.132451;
33;1.767620;302.896000;43.082400;109.289355;261.842000;24.970800;116.321175;216.332000;38.810000;126.843649;198.457600;83.991400;137.656695;221.192000;124.894600;140.958632;261.900000;142.926200;134.267622;307.176000;129.360000;119.264070;325.530000;84.986600;107.321239;
34;1.889100;303.648000;43.917800;109.218096;263.210000;25.467200;116.278426;217.040000;38.521200;126.773683;199.532400;84.195200;137.931348;222.952000;124.530600;141.118717;263.194000;143.089800;133.888406;309.158000;130.370600;117.714941;327.126000;85.434800;105.935905;
35;1.781180;304.736000;42.522000;107.719100;264.204000;23.850800;114.919062;217.270000;36.615000;125.825079;199.894200;82.893000;137.837590;223.788000;123.299200;141.346249;264.112000;142.070000;133.954514;310.710000;129.660600;116.821275;328.676000;84.476400;104.336441;
36;1.804283;305.196000;42.671400;107.487400;264.536000;23.590000;114.642399;217.218000;36.140800;125.564764;200.020000;83.120800;137.898628;224.046000;123.633000;141.311699;264.492000;142.763800;133.656925;311.642000;130.402000;116.014661;329.288000;84.750600;103.811258;
37;1.659578;305.328000;42.503600;107.303643;265.022000;23.503200;114.449003;217.692000;35.589600;125.325192;200.600000;82.653400;137.952974;224.886000;122.795600;141.458493;264.976000;141.854600;133.782482;312.166000;129.932600;115.741983;329.692000;84.259800;103.333776;
38;1.699334;305.588000;42.623000;107.191140;265.036000;23.512000;114.444184;217.772000;35.848800;125.457930;200.602000;82.946200;137.973386;224.720000;123.312400;141.352022;265.000000;142.470400;133.574256;312.234000;130.262600;115.602662;329.780000;84.510800;103.290519;
39;1.691905;305.794000;42.306400;106.846718;265.618000;23.647600;114.339832;218.712000;35.612600;125.389505;201.452000;82.366400;138.018144;225.562000;122.353200;141.464127;265.576000;141.105200;133.766351;312.394000;129.244000;115.676814;330.006000;83.843000;102.923471;
40;1.693775;306.532000;42.124200;106.233171;265.910000;23.257200;113.968310;219.212000;36.023600;125.628343;201.900000;82.529200;138.096842;225.446000;122.956400;141.331598;265.836000;141.842400;133.456747;312.466000;129.149600;115.634538;330.080000;83.947200;102.875252;
41;1.637938;306.500000;42.597000;106.495114;266.464000;24.277400;114.477697;220.026000;36.261600;125.785079;202.426000;82.514400;138.136531;226.456000;122.425600;141.373290;266.384000;140.754600;133.553337;312.656000;128.830800;115.508284;330.524000;83.936600;102.408658;
42;1.608864;306.660000;42.740400;106.457431;266.636000;24.128400;114.300417;220.114000;36.681200;125.968607;203.030000;82.722400;138.239986;226.516000;122.715800;141.281536;266.534000;141.445000;133.274662;312.710000;129.095800;115.388250;330.222000;84.183400;102.737004;
43;1.464819;306.294000;42.702200;106.698636;266.586000;24.268400;114.414138;220.110000;36.836800;126.037424;203.472000;82.507600;138.278040;226.720000;122.048400;141.355385;266.516000;140.863600;133.422556;312.468000;128.836000;115.602550;329.840000;84.021400;103.073835;
44;1.468826;306.084000;43.758800;107.458081;266.840000;25.787200;115.374236;221.014000;38.322400;126.868065;204.320000;83.111000;138.501141;227.390000;122.266200;141.314132;266.794000;140.698800;133.374121;311.968000;128.821000;115.951794;329.500000;84.762200;103.555162;
45;1.623217;305.010000;43.740000;108.168591;266.542000;26.620800;115.997092;221.876000;38.782000;127.140262;204.784000;82.242800;138.416590;227.844000;120.663800;141.489065;266.536000;138.234400;134.069961;310.424000;126.773600;117.399746;328.372000;83.841800;104.428082;
46;1.520074;304.218000;45.051200;109.385855;266.546000;28.819800;117.381778;222.876000;40.112000;127.830243;205.286000;82.708400;138.519007;228.772000;120.346600;141.498793;266.576000;136.933200;134.351928;309.524000;126.245800;118.072315;327.904000;84.195000;104.915298;
47;1.710518;304.824000;45.991000;109.482911;267.452000;30.225200;117.973713;224.622000;41.242600;128.456692;206.624000;83.362600;138.812353;229.910000;120.846000;141.412747;267.450000;136.788200;134.131853;309.782000;126.089200;117.925848;328.232000;84.652200;104.708988;
48;1.543683;304.842000;46.644200;109.809087;267.756000;31.067200;118.379207;224.740000;41.224000;128.414786;206.620000;83.694400;138.808505;230.624000;120.749800;141.401568;267.778000;136.497000;134.099873;310.434000;126.623000;117.392586;328.916000;84.829400;104.130085;
49;1.711477;304.234000;46.825000;110.297897;267.386000;31.326000;118.627924;224.050000;40.802000;128.125672;205.724000;83.617000;138.567954;230.444000;120.498400;141.379158;267.410000;136.110800;134.252648;310.392000;126.882000;117.350636;329.020000;84.725600;104.023812;
50;1.589116;305.992000;47.911400;109.714207;269.136000;32.578600;118.857034;226.020000;42.148800;128.868105;207.618000;84.678800;139.034182;232.176000;121.564600;141.233068;269.190000;137.056600;133.530148;311.924000;127.740800;116.153859;330.654000;85.902400;102.722606;
51;1.589116;305.992000;47.911400;109.733361;269.136000;32.578600;118.857436;226.020000;42.148800;128.845519;207.618000;84.678800;138.998580;232.176000;121.564600;141.203899;269.190000;137.056600;133.514732;311.924000;127.740800;116.161351;330.654000;85.902400;102.750990;
52;1.589116;305.992000;47.911400;109.751742;269.136000;32.578600;118.857791;226.020000;42.148800;128.823769;207.618000;84.678800;138.964312;232.176000;121.564600;141.175820;269.190000;137.056600;133.499879;311.924000;127.740800;116.168522;330.654000;85.902400;102.778240;
53;1.433425;305.900000;47.470800;109.610021;269.272000;32.028800;118.491950;226.178000;41.540400;128.525049;208.182000;83.982600;138.944074;232.542000;120.660000;141.270890;269.322000;136.252200;133.655883;311.972000;127.024400;116.296342;330.312000;85.240800;103.017970;
54;1.478659;306.908000;48.061800;109.251325;269.954000;32.514400;118.572414;226.740000;42.209800;128.851130;208.658000;84.869800;139.113810;232.972000;121.798600;141.096264;270.034000;137.460600;133.137918;312.824000;128.038600;115.504132;331.228000;86.044200;102.307293;
55;1.415793;307.502000;48.110400;108.894927;270.636000;32.911800;118.603219;227.696000;42.510800;129.027414;208.884000;84.848200;139.124099;233.686000;121.733000;141.078791;270.704000;137.044400;133.041473;313.148000;127.731400;115.346477;332.292000;86.087200;101.308412;
56;1.428425;310.502000;50.461000;107.947418;273.638000;34.792000;118.708307;231.116000;45.054800;130.285075;213.200000;87.150800;140.085316;236.794000;123.978200;140.703954;273.698000;139.723800;131.419887;315.926000;129.682800;112.902239;334.058000;88.322400;99.875571;
57;1.471260;310.114000;50.004000;107.991418;273.474000;34.329800;118.502707;231.022000;44.513400;130.055044;213.196000;86.424400;140.010214;236.882000;123.021200;140.839267;273.556000;138.720600;131.725216;315.516000;128.847800;113.367139;333.676000;87.579600;100.121699;
58;1.523896;310.440000;50.800000;108.133636;273.808000;35.227800;118.910517;231.064000;45.000400;130.293700;212.872000;87.217600;140.071117;237.198000;123.874800;140.709776;273.864000;139.423200;131.425911;316.138000;129.916200;112.632205;334.602000;88.401000;99.276055;
59;1.559117;310.428000;49.901000;107.710596;273.870000;34.306000;118.379747;231.342000;44.297600;130.015373;213.346000;86.246200;140.062989;237.326000;122.833600;140.884510;273.956000;138.412200;131.690478;315.914000;128.720800;113.079167;334.236000;87.438400;99.498082;
60;1.519807;310.340000;50.678200;108.132422;273.758000;35.198600;118.930504;231.030000;44.867800;130.283884;212.896000;87.060400;140.111838;237.208000;123.651800;140.776510;273.824000;139.145000;131.522382;316.076000;129.759200;112.687068;334.508000;88.249000;99.305135;
61;1.575814;310.320000;50.622400;108.130667;273.906000;35.022800;118.807502;231.262000;44.743200;130.269915;213.422000;86.811000;140.192574;237.508000;123.252200;140.845601;273.980000;138.843200;131.561873;316.092000;129.420600;112.746750;334.248000;87.980000;99.521750;
62;1.480356;310.090000;51.062200;108.524170;273.490000;35.576400;119.300386;231.130000;45.636600;130.712219;213.018000;87.500400;140.258582;236.914000;124.078800;140.769617;273.550000;139.642600;131.486068;315.500000;129.858200;113.073273;333.914000;88.661800;99.954852;
63;1.546050;309.826000;50.025600;108.247989;273.302000;34.822600;118.988727;230.780000;44.385200;130.220642;212.252000;86.333400;140.081602;236.790000;122.919800;140.996795;273.366000;138.067600;132.013754;315.332000;128.786400;113.469499;334.154000;87.503200;99.562424;
64;1.567086;309.992000;50.796600;108.526774;273.350000;35.027400;119.134440;230.534000;44.930000;130.522926;212.722000;87.225200;140.322750;236.730000;123.920200;140.910419;273.408000;139.635000;131.613382;315.718000;129.983800;112.929564;333.804000;88.366600;100.054835;
65;1.503272;310.234000;50.726200;108.348222;273.370000;34.799600;119.042285;230.514000;45.019800;130.626010;212.804000;87.443400;140.431798;236.484000;124.302600;140.923821;273.382000;140.277400;131.491346;315.908000;130.288000;112.750188;333.844000;88.565000;100.061250;
66;1.573025;309.594000;51.967200;109.423171;273.066000;36.332200;120.052827;230.294000;46.020000;131.124783;212.536000;88.278200;140.559073;236.562000;124.786800;140.923026;273.118000;140.417800;131.601555;315.444000;130.988400;112.971695;333.464000;89.438600;100.600868;
67;1.527610;309.722000;51.573200;109.207789;273.116000;35.941000;119.882171;230.498000;45.870800;131.140680;212.660000;87.974400;140.635161;236.516000;124.572800;141.048128;273.158000;140.239600;131.727789;315.362000;130.570800;113.215602;333.470000;89.163800;100.623328;
68;1.605654;309.814000;51.928200;109.372042;273.118000;36.289800;120.140857;230.378000;46.152800;131.340810;212.488000;88.410400;140.752782;236.456000;125.055200;141.076983;273.152000;140.699200;131.700815;315.482000;131.104000;113.092042;333.652000;89.520000;100.566147;
69;1.528230;309.656000;51.775800;109.474955;273.036000;36.306000;120.241926;230.416000;46.025600;131.365801;212.226000;88.213000;140.790356;236.446000;124.764600;141.224346;273.072000;140.274200;131.948670;315.358000;130.794200;113.355309;333.790000;89.354400;100.482579;
70;1.571491;309.638000;52.544200;109.901161;273.032000;36.812800;120.583843;230.334000;46.678400;131.719678;212.460000;88.968000;140.992104;236.496000;125.524000;141.199542;273.040000;141.181600;131.793702;315.370000;131.545800;113.248934;333.486000;89.975200;100.940268;
71;1.671915;309.004000;51.765200;110.040267;272.450000;35.989800;120.381902;229.460000;45.535400;131.279943;211.852000;88.105200;140.903431;235.968000;124.619800;141.447824;272.494000;140.373600;132.284467;315.142000;131.044800;113.627605;332.994000;89.192000;101.396177;
72;1.761136;308.618000;53.062600;110.945099;272.464000;37.447600;121.224950;229.730000;46.697200;131.852485;212.108000;89.040800;141.119036;236.364000;125.149200;141.445297;272.504000;140.779400;132.255251;314.966000;131.733200;113.664053;332.798000;90.090400;101.766945;
73;1.579911;308.576000;51.636400;110.379074;272.092000;35.831000;120.520550;228.914000;45.154800;131.235723;211.440000;87.953800;140.993619;235.650000;124.396000;141.665312;272.116000;140.206600;132.619442;314.972000;131.085800;113.901911;332.702000;89.042600;101.789560;
74;1.680504;308.106000;52.930600;111.325097;272.046000;37.547000;121.513861;229.306000;46.502600;131.887835;211.516000;88.849400;141.172085;236.030000;124.860600;141.664906;272.080000;140.282200;132.686175;314.506000;131.557800;114.186079;332.554000;89.952800;102.098473;
75;1.610410;308.476000;51.756000;110.582593;271.962000;36.194800;120.851887;228.846000;45.453400;131.480318;210.906000;88.116000;141.075660;235.510000;124.635400;141.785246;272.020000;140.211800;132.797206;314.722000;131.197600;114.189391;332.960000;89.252200;101.662135;
76;1.610272;308.128000;53.021400;111.438614;271.932000;37.536800;121.638631;228.810000;46.367400;131.934179;211.000000;89.062000;141.259923;235.796000;125.242000;141.762607;271.976000;140.698800;132.749425;314.692000;132.092200;114.055812;332.788000;90.193200;102.006360;
77;1.577808;308.276000;51.736000;110.785256;271.788000;36.384400;121.096825;228.720000;45.411200;131.569516;210.468000;88.120200;141.147551;235.348000;124.536000;141.948302;271.814000;139.952600;133.070938;314.590000;131.154600;114.419264;333.112000;89.177200;101.592542;
78;1.614298;308.126000;52.903800;111.458443;271.934000;37.269600;121.573504;229.000000;46.437400;132.075094;211.420000;88.914200;141.442617;235.788000;125.091600;141.926402;271.964000;140.710800;132.886070;314.482000;131.794400;114.403927;332.350000;90.036600;102.502879;
79;1.529024;308.306000;52.080800;110.995470;271.918000;36.652000;121.280689;229.032000;45.844200;131.870878;211.210000;88.290000;141.410805;235.582000;124.615200;142.069541;271.974000;140.073400;133.125132;314.486000;131.117600;114.624387;332.578000;89.418400;102.239735;
80;1.471491;308.430000;52.476400;111.117644;271.930000;37.152600;121.583427;228.978000;46.294000;132.111894;210.800000;88.835400;141.464101;235.456000;125.290400;142.026843;271.944000;140.632400;133.030802;314.534000;131.727800;114.481567;332.982000;89.933000;101.937925;
81;1.426272;308.118000;51.648800;110.973615;271.654000;36.284400;121.230932;228.706000;45.494200;131.806622;210.530000;88.030000;141.400495;235.194000;124.431400;142.223979;271.678000;139.909400;133.365006;314.292000;130.937600;114.890209;332.762000;89.189000;102.080033;
82;1.481186;308.778000;52.045400;110.715694;271.906000;36.519600;121.298138;228.894000;46.235400;132.167252;210.532000;88.790800;141.526946;235.080000;125.632000;142.088625;271.936000;141.150800;132.982404;314.488000;131.695800;114.595082;333.172000;89.921200;101.786960;
83;1.337249;309.052000;50.720600;109.982935;271.908000;35.011200;120.534985;228.812000;45.117400;131.766995;210.522000;87.749200;141.519808;234.746000;124.913200;142.316436;271.928000;140.602200;133.252116;314.548000;130.725200;114.899697;333.108000;88.944400;101.813905;
84;1.509380;309.162000;51.581400;110.445384;272.280000;35.747000;120.951923;229.152000;45.599000;132.122996;211.200000;88.330400;141.838449;235.406000;125.148600;142.430925;272.304000;141.027200;133.189671;315.078000;131.404400;114.527153;333.288000;89.481600;101.868038;
85;1.401137;309.204000;50.491000;110.064936;272.254000;34.604000;120.470630;229.104000;44.576600;131.827854;211.126000;87.235000;141.873699;235.344000;124.190200;142.748621;272.308000;140.008800;133.653798;314.948000;130.283400;115.083442;333.196000;88.374000;101.993563;
86;1.463116;309.276000;51.038600;110.425959;272.472000;35.280400;120.918973;229.400000;45.135400;132.224667;211.426000;87.713600;142.131139;235.624000;124.558800;142.860605;272.490000;140.329000;133.694927;315.094000;130.720800;115.069849;333.348000;88.944600;102.107393;
87;1.506137;309.620000;49.863800;109.787227;272.666000;34.018200;120.283576;229.448000;43.891600;131.817108;211.472000;86.625200;142.171184;235.718000;123.569400;143.172410;272.696000;139.390800;134.074611;315.440000;129.781000;115.244744;333.702000;87.797400;101.788482;
88;1.560694;309.784000;50.815800;110.303408;272.968000;34.684800;120.713787;229.690000;44.677400;132.319715;212.192000;87.449200;142.529208;236.154000;124.252400;143.241482;273.020000;140.372600;133.906366;315.810000;130.647600;114.994217;333.592000;88.605200;102.231857;
89;1.451600;310.372000;49.753000;109.545237;273.160000;33.401000;120.058080;229.728000;43.826000;132.080877;212.022000;86.763400;142.577176;235.980000;123.975200;143.451883;273.212000;140.237600;134.069208;316.080000;130.084800;115.137967;334.084000;87.897600;101.845320;
90;1.455711;310.088000;50.501200;110.290570;273.234000;34.824400;121.008619;230.180000;44.576000;132.572234;211.890000;87.226000;142.769111;236.372000;124.115200;143.593536;273.246000;139.746600;134.384173;315.882000;130.196400;115.473436;334.396000;88.350600;101.819421;
91;1.416301;310.388000;49.694800;109.861640;273.460000;33.532400;120.340659;230.468000;43.877400;132.407462;212.742000;86.447200;142.949197;236.620000;123.315600;143.866572;273.530000;139.489800;134.553233;316.102000;129.396200;115.707051;334.112000;87.619400;102.205193;
92;1.452390;310.348000;50.036600;110.229388;273.434000;33.948600;120.740322;230.346000;44.147000;132.668490;212.472000;86.840000;143.109033;236.528000;123.798800;143.967513;273.456000;139.868200;134.658093;316.160000;129.867800;115.766260;334.258000;87.954000;102.319713;
93;1.502291;310.920000;49.222800;109.601736;273.548000;32.953000;120.278714;230.412000;43.769600;132.648801;212.346000;86.432400;143.200345;236.200000;123.848200;144.142115;273.616000;140.090000;134.739568;316.268000;129.501800;115.984603;334.588000;87.606400;102.152789;
94;1.537414;310.928000;49.593600;109.779715;273.518000;33.099600;120.375218;230.146000;43.872800;132.691747;212.472000;86.806600;143.262455;236.202000;124.262000;144.083779;273.562000;140.720200;134.584699;316.558000;130.148800;115.627866;334.462000;87.982600;102.337733;
95;1.530694;311.054000;48.592000;109.188838;273.488000;31.750200;119.583283;229.770000;42.693400;132.147003;212.410000;86.003600;143.156636;235.940000;123.550800;144.190388;273.494000;140.395600;134.694335;316.860000;129.658200;115.517795;334.452000;87.113200;102.209939;
96;1.446251;310.652000;49.380800;109.872279;273.250000;32.604400;120.175242;229.614000;43.406800;132.471482;212.162000;86.618000;143.197164;235.870000;124.028200;144.125894;273.252000;140.808600;134.655490;316.524000;130.216000;115.637335;334.228000;87.770400;102.538363;
97;1.402385;311.266000;48.058600;108.763736;273.130000;31.080400;119.301078;229.124000;42.535800;132.061022;211.484000;86.083600;143.036043;234.960000;124.207800;144.121373;273.126000;141.256600;134.569887;316.748000;130.043800;115.512809;334.672000;87.256000;102.012388;
98;1.408726;311.002000;48.574200;109.217422;273.102000;31.709000;119.691349;229.220000;42.912200;132.237003;211.764000;86.338200;143.107367;235.206000;124.230600;144.113066;273.120000;141.173000;134.594983;316.646000;130.213800;115.548684;334.376000;87.566600;102.358730;
99;1.489104;311.046000;47.909000;108.846872;273.100000;31.213000;119.392060;229.338000;42.420400;132.012134;211.528000;85.705800;142.995193;235.160000;123.660000;144.193951;273.104000;140.353000;134.825105;316.426000;129.387800;115.895067;334.522000;86.872600;102.100302;
100;1.585885;312.882000;48.073000;107.576575;274.504000;30.603800;118.526960;230.132000;42.322600;131.980954;213.074000;86.323000;143.285681;236.080000;124.708200;144.022991;274.466000;142.238400;133.875868;318.608000;130.694200;113.974959;335.872000;87.414400;100.817400;
101;1.585885;312.882000;48.073000;107.576575;274.504000;30.603800;118.526960;230.132000;42.322600;131.980954;213.074000;86.323000;143.285681;236.080000;124.708200;144.022991;274.466000;142.238400;133.875868;318.608000;130.694200;113.974959;335.872000;87.414400;100.817400;
102;1.585885;312.882000;48.073000;107.611589;274.504000;30.603800;118.557788;230.132000;42.322600;132.012800;213.074000;86.323000;143.322355;236.080000;124.708200;144.064071;274.466000;142.238400;133.920912;318.608000;130.694200;114.023096;335.872000;87.414400;100.861525;
103;1.585885;312.882000;48.073000;107.647369;274.504000;30.603800;118.589295;230.132000;42.322600;132.045346;213.074000;86.323000;143.359832;236.080000;124.708200;144.106048;274.466000;142.238400;133.966937;318.608000;130.694200;114.072277;335.872000;87.414400;100.906609;
104;1.585885;312.882000;48.073000;107.707730;274.504000;30.603800;118.638713;230.132000;42.322600;132.091048;213.074000;86.323000;143.410263;236.080000;124.708200;144.164401;274.466000;142.238400;134.034477;318.608000;130.694200;114.150098;335.872000;87.414400;100.982952;
105;1.525678;313.396000;47.051400;106.832524;274.620000;28.922800;117.582991;229.768000;41.210000;131.596366;213.234000;85.742000;143.395095;235.784000;124.533200;144.237925;274.598000;142.804400;133.876558;319.332000;130.678200;113.658541;336.036000;86.927000;100.792780;
106;1.771094;313.440000;46.938000;106.793442;274.792000;28.020600;116.991591;229.358000;40.380400;131.241484;213.706000;85.501600;143.479522;236.040000;124.297200;144.321112;274.776000;143.237200;133.753041;319.976000;130.947200;113.161491;335.816000;86.803600;101.060705;
107;1.743130;313.876000;46.186200;106.086417;275.032000;26.960600;116.243306;229.444000;39.623000;130.913009;214.172000;84.911400;143.503258;236.040000;123.823800;144.428683;275.020000;143.164400;133.736625;320.420000;130.549200;112.947950;335.880000;86.388000;100.957684;
108;1.815748;313.822000;46.807800;106.489370;275.004000;27.499600;116.638370;228.862000;39.660200;130.958357;213.724000;85.498400;143.570944;236.004000;124.475400;144.387717;274.960000;143.842400;133.602835;320.858000;131.689400;112.369221;336.192000;87.032400;100.776024;
