FRAME;AVG INACCURACY;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;LM X;LM Y;
48;1.696881;284.368000;68.521800;269.758000;61.599000;252.638000;65.948600;246.806000;83.065800;255.156000;97.718400;269.766000;104.580200;286.886000;100.235200;292.794000;83.755400;
49;1.796144;283.406000;67.577200;268.696000;60.825400;251.434000;64.956800;245.450000;82.209400;254.004000;96.957200;268.706000;103.649400;285.962000;99.520800;292.026000;82.881000;
50;1.689709;285.380000;68.726200;270.766000;61.798800;253.810000;66.327200;247.978000;83.278600;256.154000;97.937000;270.776000;104.802000;287.732000;100.281800;293.638000;83.979200;
51;1.689709;285.380000;68.726200;270.766000;61.798800;253.810000;66.327200;247.978000;83.278600;256.154000;97.937000;270.776000;104.802000;287.732000;100.281800;293.638000;83.979200;
52;1.689709;285.380000;68.726200;270.766000;61.798800;253.810000;66.327200;247.978000;83.278600;256.154000;97.937000;270.776000;104.802000;287.732000;100.281800;293.638000;83.979200;
53;1.655931;285.718000;68.317200;271.284000;61.061400;254.300000;65.701000;248.812000;82.676000;256.860000;97.159800;271.290000;104.343200;288.274000;99.709800;293.838000;83.351600;
54;1.614518;286.624000;69.634400;271.964000;62.332400;255.188000;67.461800;249.566000;84.232200;257.304000;98.945400;271.970000;106.176200;288.748000;101.054000;294.442000;84.933200;
55;1.629256;286.958000;69.829200;272.598000;62.643400;255.892000;67.424800;250.366000;84.125600;258.242000;98.535000;272.606000;105.649800;289.310000;100.878400;294.910000;84.809000;
56;1.457881;289.532000;72.454200;275.410000;65.631200;259.050000;70.147800;253.518000;86.497200;261.304000;100.659600;275.420000;107.411600;291.784000;102.902000;297.398000;87.170400;
57;1.450230;289.466000;72.293200;275.372000;65.252400;259.090000;70.030600;253.742000;86.304600;261.298000;100.443800;275.382000;107.410800;291.666000;102.637800;297.096000;86.990200;
58;1.474829;289.928000;72.836000;276.020000;66.100600;260.078000;70.727200;254.616000;86.656400;262.134000;100.604400;276.030000;107.266400;291.978000;102.644200;297.520000;87.315000;
59;1.531214;289.820000;72.138600;275.748000;65.051200;259.480000;69.862600;254.258000;86.122800;261.704000;100.238800;275.762000;107.249600;292.038000;102.448000;297.344000;86.810600;
60;1.527776;290.018000;72.806400;276.284000;66.046400;260.190000;70.365400;254.872000;86.447200;262.580000;100.219400;276.298000;106.905400;292.398000;102.592600;297.812000;87.129400;
61;1.448355;289.754000;72.369600;275.780000;65.322000;259.564000;70.050200;254.356000;86.256200;261.834000;100.275600;275.794000;107.246800;292.016000;102.526600;297.314000;86.964800;
62;1.458273;289.612000;73.314600;275.808000;66.453800;259.830000;71.059000;254.602000;87.030400;262.032000;100.874600;275.820000;107.662800;291.808000;103.061400;297.122000;87.739600;
63;1.609717;289.100000;72.092400;275.300000;65.297200;259.322000;69.836600;254.008000;85.808800;261.522000;99.651200;275.312000;106.373000;291.302000;101.841800;296.698000;86.500000;
64;1.367399;289.282000;73.260000;275.360000;66.414200;259.352000;71.102000;254.040000;87.099400;261.456000;101.065800;275.370000;107.838200;291.384000;103.158800;296.776000;87.771600;
65;1.356895;289.142000;73.197200;275.130000;66.215400;259.106000;71.106600;253.794000;87.125000;261.142000;101.179200;275.140000;108.088800;291.176000;103.203800;296.564000;87.779200;
66;1.508620;289.154000;73.972600;275.306000;67.240400;259.288000;71.725200;253.862000;87.734000;261.482000;101.620400;275.318000;108.277000;291.344000;103.803800;296.856000;88.380600;
67;1.446737;289.066000;73.675600;275.060000;66.916200;259.030000;71.570000;253.582000;87.596800;261.078000;101.640800;275.072000;108.325600;291.118000;103.683200;296.644000;88.274200;
68;1.472492;288.766000;74.140200;274.738000;67.465200;258.628000;71.983600;253.122000;88.083200;260.732000;102.151400;274.750000;108.750000;290.868000;104.245600;296.456000;88.746400;
69;1.440105;288.772000;74.028000;274.906000;67.576800;258.890000;71.805600;253.168000;87.811600;261.058000;101.715800;274.916000;108.097200;290.938000;103.878000;296.744000;88.479400;
70;1.487437;288.816000;74.516400;274.672000;68.037400;258.556000;72.467800;252.812000;88.573800;260.552000;102.753400;274.686000;109.160200;290.810000;104.742000;296.636000;89.247400;
71;1.514480;288.366000;73.967800;274.304000;67.433400;257.942000;71.602400;252.176000;87.953600;260.252000;102.057200;274.316000;108.520800;290.680000;104.362400;296.534000;88.635600;
72;1.584601;288.632000;74.419200;274.454000;67.987400;258.018000;72.087800;251.994000;88.511000;260.294000;102.726200;274.464000;109.087000;290.902000;104.995800;297.010000;89.149200;
73;1.601134;288.190000;74.167800;273.998000;67.546200;257.710000;71.999200;251.966000;88.279200;259.818000;102.511800;274.010000;109.057000;290.308000;104.617600;296.136000;88.942800;
74;1.646660;288.074000;74.352200;273.864000;67.876000;257.508000;72.131800;251.558000;88.476800;259.672000;102.726200;273.874000;109.126200;290.238000;104.884200;296.272000;89.130400;
75;1.608988;288.408000;73.905600;274.148000;67.216600;257.630000;71.576400;251.938000;88.082200;259.902000;102.387200;274.160000;108.998600;290.680000;104.651000;296.462000;88.767000;
76;1.741867;288.312000;74.418800;273.988000;67.838600;257.472000;72.151600;251.610000;88.651000;259.684000;103.017000;274.000000;109.516400;290.520000;105.219200;296.472000;89.296600;
77;1.751520;288.182000;74.064600;274.068000;67.409400;257.562000;71.596600;251.836000;88.093000;259.974000;102.247600;274.082000;108.822000;290.598000;104.653800;296.418000;88.784000;
78;1.577492;288.432000;74.684200;274.214000;68.023600;257.652000;72.267400;251.852000;88.817600;260.014000;103.075200;274.224000;109.659800;290.790000;105.428200;296.678000;89.475000;
79;1.490321;288.536000;74.283200;274.196000;67.453800;257.580000;71.935200;251.954000;88.536600;259.874000;102.919600;274.204000;109.671800;290.822000;105.201400;296.538000;89.187200;
80;1.523739;288.518000;74.596200;274.278000;67.883200;257.670000;72.151200;251.870000;88.748600;260.060000;103.027200;274.290000;109.663800;290.906000;105.408200;296.796000;89.396200;
81;1.676525;288.330000;73.869200;274.056000;67.016200;257.468000;71.479000;251.898000;88.056800;259.804000;102.373600;274.070000;109.144800;290.666000;104.701800;296.328000;88.745600;
82;1.629134;288.666000;74.399800;274.356000;67.518000;257.766000;72.037000;252.198000;88.620200;260.074000;102.971800;274.368000;109.774200;290.968000;105.269800;296.624000;89.295000;
83;1.514378;288.810000;73.350200;274.410000;66.167600;257.718000;70.979800;252.332000;87.665600;260.034000;102.108600;274.422000;109.213800;291.124000;104.414800;296.596000;88.332400;
84;1.465925;288.858000;73.898400;274.350000;66.664000;257.632000;71.612800;252.228000;88.325000;259.860000;102.879600;274.360000;110.038200;291.088000;105.099200;296.572000;88.992000;
85;1.620516;288.984000;72.968800;274.630000;65.698200;258.010000;70.619600;252.688000;87.235400;260.300000;101.634200;274.644000;108.823600;291.278000;103.916000;296.680000;87.929800;
86;1.568721;289.046000;73.244400;274.894000;65.985000;258.204000;70.627400;253.024000;87.308800;260.766000;101.504600;274.904000;108.684800;291.606000;104.054400;296.870000;87.982800;
87;1.608850;289.142000;72.294200;275.026000;65.051000;258.454000;69.748600;253.250000;86.317000;260.942000;100.474400;275.042000;107.636400;291.626000;102.951800;296.914000;87.005400;
88;1.516398;289.414000;73.075200;275.344000;65.616000;258.516000;70.232000;253.592000;87.058800;261.304000;101.167800;275.358000;108.552200;292.202000;103.948400;297.216000;87.784400;
89;1.545634;289.546000;71.942600;275.448000;64.411000;258.588000;69.092400;253.672000;85.948400;261.382000;100.090200;275.460000;107.542800;292.338000;102.871000;297.346000;86.674200;
90;1.489096;289.620000;72.845000;275.748000;65.362200;258.858000;69.744400;254.062000;86.626800;261.904000;100.540600;275.758000;107.948800;292.660000;103.571800;297.558000;87.320400;
91;1.470991;290.006000;71.983600;275.928000;64.440600;259.120000;69.165000;254.188000;85.966800;261.884000;100.086600;275.940000;107.553800;292.762000;102.832400;297.790000;86.655600;
92;1.446425;290.332000;72.586600;276.298000;65.089400;259.436000;69.675800;254.486000;86.529000;262.290000;100.606400;276.310000;108.029000;293.182000;103.445800;298.230000;87.207600;
93;1.449456;290.302000;71.821000;276.004000;64.144600;259.132000;69.159000;254.150000;86.024000;261.740000;100.364000;276.016000;107.964600;292.904000;102.955000;297.974000;86.715400;
94;1.504226;290.256000;72.514600;275.908000;64.780400;258.856000;69.723400;253.910000;86.764800;261.590000;101.157600;275.918000;108.814600;292.980000;103.871400;298.020000;87.395200;
95;1.342030;290.412000;71.939200;275.996000;64.073400;259.018000;69.301600;254.148000;86.269800;261.602000;100.733800;276.008000;108.522800;292.998000;103.303200;297.956000;86.939400;
96;1.427158;290.230000;72.545800;275.906000;64.830200;258.898000;69.775400;253.974000;86.778600;261.610000;101.145800;275.918000;108.785200;292.944000;103.846800;297.960000;87.454800;
97;1.272031;290.386000;71.737200;276.026000;64.172400;259.200000;69.192000;254.124000;86.009800;261.692000;100.414800;276.038000;107.903200;292.882000;102.894000;298.044000;86.681200;
98;1.361260;290.240000;72.376400;275.778000;64.700800;258.876000;69.856800;253.776000;86.751200;261.342000;101.259200;275.790000;108.860600;292.708000;103.710200;297.894000;87.439200;
99;1.338565;290.258000;71.844000;275.870000;64.144800;258.920000;69.195200;253.812000;86.144400;261.510000;100.573200;275.882000;108.199200;292.856000;103.150800;298.046000;86.807200;
100;1.089641;291.642000;72.620400;277.114000;65.180600;260.358000;70.311600;255.150000;87.060400;262.612000;101.629600;277.124000;109.006400;293.896000;103.868000;299.176000;87.661600;
101;1.089641;291.642000;72.620400;277.114000;65.180600;260.358000;70.311600;255.150000;87.060400;262.612000;101.629600;277.124000;109.006400;293.896000;103.868000;299.176000;87.661600;
102;1.089641;291.642000;72.620400;277.114000;65.180600;260.358000;70.311600;255.150000;87.060400;262.612000;101.629600;277.124000;109.006400;293.896000;103.868000;299.176000;87.661600;
103;1.089641;291.642000;72.620400;277.114000;65.180600;260.358000;70.311600;255.150000;87.060400;262.612000;101.629600;277.124000;109.006400;293.896000;103.868000;299.176000;87.661600;
104;1.089641;291.642000;72.620400;277.114000;65.180600;260.358000;70.311600;255.150000;87.060400;262.612000;101.629600;277.124000;109.006400;293.896000;103.868000;299.176000;87.661600;
105;1.151558;291.942000;72.104800;277.298000;64.384600;260.390000;69.760800;255.396000;86.660800;262.676000;101.351800;277.310000;109.001800;294.236000;103.622400;299.310000;87.302400;
106;1.052363;292.302000;73.005800;277.602000;65.169600;260.684000;70.707400;255.738000;87.625800;262.920000;102.370800;277.614000;110.140000;294.558000;104.599400;299.568000;88.314800;
107;0.969275;292.438000;71.977800;277.650000;63.985000;260.628000;69.667400;255.776000;86.690600;262.878000;101.525800;277.660000;109.453600;294.710000;103.771600;299.626000;87.358800;
108;0.934729;292.862000;72.971400;278.044000;64.916600;261.042000;70.719800;256.222000;87.717600;263.238000;102.584000;278.052000;110.575800;295.074000;104.769000;299.956000;88.384600;
109;0.948791;293.330000;72.130200;278.272000;63.930200;261.194000;70.035800;256.344000;87.117800;263.224000;102.223800;278.278000;110.363800;295.388000;104.255600;300.292000;87.786600;
110;0.883643;293.506000;72.802400;278.466000;64.688000;261.472000;70.778600;256.572000;87.774600;263.436000;102.861800;278.472000;110.919400;295.490000;104.824600;300.444000;88.438600;
111;0.872916;293.676000;72.225400;278.592000;63.961200;261.560000;70.206600;256.700000;87.241200;263.514000;102.376000;278.596000;110.579800;295.658000;104.330400;300.568000;87.903200;
112;0.883942;293.628000;73.046800;278.666000;64.827800;261.676000;70.953400;256.846000;87.945000;263.704000;102.958600;278.670000;111.120600;295.686000;104.986400;300.572000;88.616600;
113;0.890611;293.800000;72.637800;278.728000;64.350800;261.740000;70.663800;256.928000;87.646600;263.654000;102.775000;278.730000;111.000600;295.742000;104.687800;300.612000;88.320600;
114;0.962207;294.050000;73.241800;278.910000;65.093800;261.992000;71.409400;257.030000;88.324000;263.762000;103.520400;278.912000;111.606200;295.852000;105.292000;300.870000;88.985200;
115;0.909711;294.082000;72.854000;279.014000;64.547800;262.014000;70.868000;257.234000;87.863000;263.934000;102.990200;279.014000;111.231200;296.042000;104.913200;300.878000;88.523400;
116;0.908771;294.170000;73.770000;279.192000;65.574000;262.262000;71.762800;257.412000;88.691200;264.206000;103.725000;279.192000;111.858800;296.148000;105.667600;301.060000;89.385200;
117;0.909013;294.364000;73.064800;279.270000;64.828400;262.360000;71.193800;257.506000;88.100600;264.166000;103.251000;279.272000;111.425000;296.210000;105.062600;301.116000;88.750200;
118;0.844706;294.278000;74.070600;279.416000;65.886800;262.572000;72.034400;257.788000;88.876800;264.544000;103.793200;279.416000;111.913000;296.290000;105.765800;301.140000;89.575200;
119;0.844706;294.278000;74.070600;279.416000;65.886800;262.572000;72.034400;257.788000;88.876800;264.544000;103.793200;279.416000;111.913000;296.290000;105.765800;301.140000;89.575200;
120;0.844706;294.278000;74.070600;279.416000;65.886800;262.572000;72.034400;257.788000;88.876800;264.544000;103.793200;279.416000;111.913000;296.290000;105.765800;301.140000;89.575200;
121;0.949366;294.290000;73.544200;279.418000;65.412600;262.726000;71.677400;257.912000;88.366200;264.530000;103.295000;279.418000;111.364800;296.138000;105.105000;301.010000;89.052600;
122;0.869127;294.060000;74.077400;279.254000;66.008600;262.624000;72.203200;257.822000;88.829800;264.440000;103.691200;279.254000;111.696000;295.912000;105.506200;300.778000;89.534000;
123;0.907617;294.002000;73.669800;279.248000;65.631200;262.724000;71.846600;257.912000;88.365400;264.486000;103.177400;279.248000;111.152200;295.798000;104.942000;300.670000;89.061200;
124;0.903042;293.864000;74.142600;279.212000;66.136800;262.688000;72.219600;257.894000;88.740000;264.550000;103.448400;279.210000;111.390400;295.764000;105.310000;300.620000;89.426200;
125;0.906136;293.872000;73.646400;279.224000;65.694000;262.798000;71.820200;257.974000;88.241400;264.566000;102.946200;279.222000;110.837800;295.676000;104.716200;300.558000;88.918400;
126;0.895135;293.812000;74.243400;279.238000;66.312400;262.794000;72.321000;258.010000;88.761600;264.654000;103.391000;279.236000;111.257800;295.710000;105.252200;300.556000;89.460800;
127;0.941505;293.672000;73.778000;279.116000;65.838600;262.716000;71.884000;257.938000;88.279800;264.550000;102.891400;279.114000;110.769400;295.542000;104.728800;300.380000;88.947200;
128;0.954944;293.524000;74.213800;279.060000;66.362000;262.702000;72.273400;257.912000;88.624200;264.584000;103.146000;279.056000;110.934200;295.438000;105.026400;300.294000;89.310400;
129;0.917868;293.406000;73.792200;278.996000;65.946000;262.694000;71.849400;257.954000;88.145400;264.578000;102.612000;278.994000;110.394200;295.326000;104.496800;300.126000;88.797000;
130;0.942966;293.002000;73.753800;278.708000;66.013800;262.612000;71.906800;257.878000;87.996000;264.402000;102.348600;278.704000;110.026200;294.828000;104.141200;299.624000;88.688600;
131;1.232012;295.202000;72.985800;281.152000;64.993600;264.762000;70.595200;260.516000;86.980600;267.096000;101.083200;281.152000;109.016400;297.576000;103.424600;301.884000;87.633000;
132;1.228797;302.022000;73.350600;288.986000;65.064600;272.778000;70.129800;269.492000;86.330200;275.942000;99.415400;288.984000;107.640000;305.234000;102.594400;308.606000;86.988600;
133;1.694669;311.744000;72.929000;299.636000;64.002600;283.458000;68.804000;281.722000;84.955600;287.530000;97.123200;299.640000;105.978800;315.846000;101.193400;317.694000;85.633600;
134;1.686100;320.188000;74.616600;308.920000;64.617600;293.538000;70.430200;292.820000;85.779400;297.660000;97.112400;308.920000;107.038200;324.326000;101.223000;325.146000;86.468000;
135;1.792484;325.152000;75.320200;314.010000;65.178200;299.456000;71.842400;298.664000;86.361200;302.860000;97.587800;314.004000;107.638200;328.576000;100.969600;329.458000;87.133200;
136;1.677018;324.886000;75.391200;313.452000;65.506400;298.708000;72.019000;297.470000;86.728000;302.014000;98.239800;313.444000;108.040400;328.204000;101.518800;329.526000;87.476800;
137;1.654666;324.578000;75.062600;313.172000;65.025800;298.418000;71.659000;297.330000;86.374400;301.756000;97.866400;313.162000;107.809600;327.934000;101.175600;329.112000;87.127600;
138;1.657711;324.248000;75.351000;312.816000;65.424800;298.082000;71.999400;296.852000;86.691800;301.370000;98.208200;312.806000;108.044600;327.556000;101.471800;328.872000;87.415400;
139;1.665602;323.970000;74.746600;312.552000;64.805200;297.972000;71.535200;296.730000;86.071200;301.118000;97.579000;312.544000;107.426400;327.138000;100.694200;328.474000;86.829400;
140;1.570188;322.682000;74.255800;310.958000;64.354800;295.998000;70.969200;294.504000;85.883600;299.222000;97.691000;310.952000;107.497800;325.930000;100.886800;327.508000;86.591600;
141;1.570188;322.682000;74.255800;310.958000;64.354800;295.998000;70.969200;294.504000;85.883600;299.222000;97.691000;310.952000;107.497800;325.930000;100.886800;327.508000;86.591600;
142;1.570188;322.682000;74.255800;310.958000;64.354800;295.998000;70.969200;294.504000;85.883600;299.222000;97.691000;310.952000;107.497800;325.930000;100.886800;327.508000;86.591600;
143;1.721199;324.130000;74.213400;312.672000;64.128600;297.750000;70.695400;296.674000;85.574600;301.200000;97.120600;312.666000;107.112600;327.604000;100.545400;328.772000;86.293400;
144;1.746468;325.160000;75.148000;313.838000;65.118600;299.348000;71.929200;298.250000;86.374000;302.506000;97.785600;313.830000;107.722400;328.338000;100.914800;329.522000;87.085400;
145;1.732915;324.896000;74.153000;313.318000;64.320000;298.676000;71.037400;297.268000;85.635600;301.724000;97.303400;313.306000;107.042600;327.964000;100.322600;329.456000;86.325600;
146;1.659485;324.422000;74.513800;312.608000;64.617800;297.860000;71.530200;296.250000;86.232400;300.778000;98.133600;312.598000;107.933400;327.366000;101.023600;329.054000;86.929200;
147;1.583721;323.936000;73.818400;312.102000;63.814600;297.308000;70.808800;295.770000;85.557800;300.250000;97.478400;312.090000;107.386800;326.902000;100.390600;328.520000;86.271600;
148;1.661811;323.368000;74.787200;311.318000;64.825600;296.310000;71.781600;294.550000;86.743000;299.252000;98.877200;311.306000;108.744200;326.334000;101.792800;328.172000;87.412400;
149;1.631762;322.906000;74.239000;310.648000;64.196400;295.538000;71.338800;293.668000;86.402400;298.372000;98.746600;310.636000;108.692800;325.766000;101.554000;327.708000;87.068000;
150;1.623296;322.600000;74.553800;310.124000;64.720000;294.744000;71.597200;292.618000;86.933800;297.630000;99.492400;310.110000;109.234200;325.516000;102.358000;327.714000;87.630000;
151;1.766261;322.146000;74.176800;309.492000;64.298600;294.030000;71.312200;291.824000;86.735200;296.818000;99.469200;309.478000;109.258000;324.970000;102.245200;327.246000;87.466600;
152;1.706341;321.320000;74.722000;308.666000;64.810400;293.128000;71.786000;290.968000;87.284600;295.996000;100.018000;308.656000;109.846800;324.222000;102.875800;326.452000;87.955200;
153;1.738770;320.442000;74.292400;307.706000;64.379600;292.032000;71.292600;289.840000;86.931400;294.960000;99.743800;307.698000;109.573200;323.404000;102.662600;325.668000;87.624000;
154;1.831915;319.742000;74.821400;306.822000;64.800000;291.000000;71.870400;288.716000;87.652200;293.888000;100.647800;306.812000;110.591000;322.664000;103.524400;325.012000;88.249400;
155;1.646151;318.946000;74.414600;305.784000;64.338000;289.624000;71.375600;287.226000;87.496400;292.604000;100.733400;305.772000;110.735000;321.962000;103.697600;324.434000;88.172400;
156;1.704671;317.812000;75.302400;304.710000;65.502000;288.654000;72.298000;286.168000;88.318000;291.604000;101.486800;304.702000;111.214200;320.792000;104.421600;323.348000;88.940400;
157;1.605151;316.876000;74.681000;303.636000;65.098600;287.660000;71.897000;284.976000;87.836200;290.392000;101.142800;303.626000;110.648400;319.634000;103.858800;322.392000;88.495000;
